@_type,@_unit,@_creationDate,@_startDate,@_endDate,@_value
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-12 15:30:45 +0300,2021-03-12 15:19:45 +0300,2021-03-12 15:49:41 +0300,70.8636
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-12 16:00:42 +0300,2021-03-12 15:49:41 +0300,2021-03-12 16:07:55 +0300,64.4974
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-12 16:20:32 +0300,2021-03-12 16:09:23 +0300,2021-03-12 16:09:32 +0300,69.4514
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-12 17:02:57 +0300,2021-03-12 16:59:49 +0300,2021-03-12 17:00:05 +0300,65.2469
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 19:35:02 +0300,2021-03-13 19:24:01 +0300,2021-03-13 19:53:58 +0300,70.0536
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 20:04:58 +0300,2021-03-13 19:53:58 +0300,2021-03-13 20:23:54 +0300,69.9596
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 20:34:55 +0300,2021-03-13 20:23:54 +0300,2021-03-13 20:33:47 +0300,72.3314
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 20:41:29 +0300,2021-03-13 20:33:47 +0300,2021-03-13 20:36:18 +0300,73.3842
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 20:41:29 +0300,2021-03-13 20:36:18 +0300,2021-03-13 20:37:07 +0300,71.1078
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 21:30:08 +0300,2021-03-13 21:10:32 +0300,2021-03-13 21:11:39 +0300,62.9655
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 21:32:35 +0300,2021-03-13 21:29:05 +0300,2021-03-13 21:29:11 +0300,56.0911
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 21:32:35 +0300,2021-03-13 21:30:06 +0300,2021-03-13 21:30:09 +0300,54.2497
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-03-13 21:32:35 +0300,2021-03-13 21:32:00 +0300,2021-03-13 21:32:28 +0300,53.4195
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:04:50 +0300,2021-04-02 18:04:53 +0300,42.1155
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:04:53 +0300,2021-04-02 18:05:29 +0300,80.1475
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:05:29 +0300,2021-04-02 18:08:21 +0300,82.404
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:08:21 +0300,2021-04-02 18:09:19 +0300,75.1361
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:09:19 +0300,2021-04-02 18:12:34 +0300,77.4761
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:12:34 +0300,2021-04-02 18:12:37 +0300,79.6895
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:12:37 +0300,2021-04-02 18:12:46 +0300,81.2417
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:12:46 +0300,2021-04-02 18:13:37 +0300,77.2434
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:13:37 +0300,2021-04-02 18:14:19 +0300,74.2257
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:14:19 +0300,2021-04-02 18:14:31 +0300,77.2408
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:15:51 +0300,2021-04-02 18:14:31 +0300,2021-04-02 18:15:07 +0300,75.0027
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:15:07 +0300,2021-04-02 18:15:10 +0300,78.5344
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:15:10 +0300,2021-04-02 18:15:16 +0300,78.2153
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:15:16 +0300,2021-04-02 18:15:22 +0300,78.4122
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:15:22 +0300,2021-04-02 18:15:38 +0300,75.4425
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:15:38 +0300,2021-04-02 18:18:05 +0300,76.9103
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-02 18:18:15 +0300,2021-04-02 18:18:05 +0300,2021-04-02 18:18:14 +0300,77.08
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 17:00:21 +0300,2021-04-03 16:50:56 +0300,2021-04-03 16:52:01 +0300,76.3457
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 17:00:21 +0300,2021-04-03 16:52:01 +0300,2021-04-03 16:52:19 +0300,64.8375
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 17:00:21 +0300,2021-04-03 16:52:19 +0300,2021-04-03 16:59:53 +0300,60.8034
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 17:12:22 +0300,2021-04-03 17:01:53 +0300,2021-04-03 17:07:01 +0300,73.9226
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 18:05:47 +0300,2021-04-03 17:54:47 +0300,2021-04-03 17:54:50 +0300,49.2621
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 18:05:47 +0300,2021-04-03 17:55:17 +0300,2021-04-03 18:24:42 +0300,68.081
HKQuantityTypeIdentifierHeadphoneAudioExposure,dBASPL,2021-04-03 18:35:42 +0300,2021-04-03 18:24:42 +0300,2021-04-03 18:40:34 +0300,68.6452
