@_type,@_unit,@_creationDate,@_startDate,@_endDate,@_value
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-02 18:43:16 +0300,2021-02-02 18:32:13 +0300,2021-02-02 18:32:26 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-03 13:39:10 +0300,2021-02-03 13:28:08 +0300,2021-02-03 13:28:28 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-03 16:55:56 +0300,2021-02-03 16:44:53 +0300,2021-02-03 16:45:16 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-05 16:40:17 +0300,2021-02-05 16:29:15 +0300,2021-02-05 16:29:17 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-05 23:43:06 +0300,2021-02-05 23:32:03 +0300,2021-02-05 23:37:06 +0300,7
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-08 12:06:21 +0300,2021-02-08 11:55:18 +0300,2021-02-08 11:55:21 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-10 13:45:52 +0300,2021-02-10 13:29:08 +0300,2021-02-10 13:29:10 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-10 20:03:34 +0300,2021-02-10 19:44:10 +0300,2021-02-10 19:45:14 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,,2021-02-11 20:42:01 +0300,2021-02-11 20:42:03 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-12 00:05:09 +0300,2021-02-11 23:49:18 +0300,2021-02-11 23:49:21 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-12 20:07:54 +0300,2021-02-12 19:56:52 +0300,2021-02-12 19:57:17 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-13 00:33:27 +0300,2021-02-13 00:20:49 +0300,2021-02-13 00:20:51 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-13 18:46:37 +0300,2021-02-13 18:35:34 +0300,2021-02-13 18:35:37 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-15 19:08:01 +0300,2021-02-15 18:57:57 +0300,2021-02-15 18:57:59 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-16 16:42:16 +0300,2021-02-16 16:31:13 +0300,2021-02-16 16:31:33 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-02-16 17:56:56 +0300,2021-02-16 17:46:26 +0300,2021-02-16 17:46:29 +0300,1
