@_type,@_unit,@_creationDate,@_startDate,@_endDate,@_value
HKQuantityTypeIdentifierHeight,cm,2020-03-04 15:03:45 +0300,2020-03-04 15:03:45 +0300,2020-03-04 15:03:45 +0300,167
HKQuantityTypeIdentifierBodyMass,kg,2020-03-04 15:03:45 +0300,2020-03-04 15:03:45 +0300,2020-03-04 15:03:45 +0300,53.5
HKQuantityTypeIdentifierStepCount,count,2021-02-02 09:14:03 +0300,2021-02-02 09:03:00 +0300,2021-02-02 09:03:08 +0300,15
HKQuantityTypeIdentifierStepCount,count,2021-02-02 13:25:22 +0300,2021-02-02 13:14:20 +0300,2021-02-02 13:24:20 +0300,574
HKQuantityTypeIdentifierStepCount,count,2021-02-02 13:35:23 +0300,2021-02-02 13:24:20 +0300,2021-02-02 13:25:04 +0300,51
HKQuantityTypeIdentifierStepCount,count,2021-02-02 14:34:23 +0300,2021-02-02 14:23:20 +0300,2021-02-02 14:33:21 +0300,999
HKQuantityTypeIdentifierStepCount,count,2021-02-02 14:44:24 +0300,2021-02-02 14:33:21 +0300,2021-02-02 14:42:59 +0300,610
HKQuantityTypeIdentifierStepCount,count,2021-02-02 14:54:40 +0300,2021-02-02 14:43:37 +0300,2021-02-02 14:44:39 +0300,101
HKQuantityTypeIdentifierStepCount,count,2021-02-02 18:13:00 +0300,2021-02-02 18:01:57 +0300,2021-02-02 18:09:45 +0300,218
HKQuantityTypeIdentifierStepCount,count,2021-02-02 18:34:47 +0300,2021-02-02 18:23:44 +0300,2021-02-02 18:32:44 +0300,294
HKQuantityTypeIdentifierStepCount,count,2021-02-02 18:45:52 +0300,2021-02-02 18:34:50 +0300,2021-02-02 18:41:35 +0300,249
HKQuantityTypeIdentifierStepCount,count,2021-02-02 19:00:12 +0300,2021-02-02 18:49:10 +0300,2021-02-02 18:55:32 +0300,301
HKQuantityTypeIdentifierStepCount,count,2021-02-02 23:08:33 +0300,2021-02-02 22:57:30 +0300,2021-02-02 22:57:35 +0300,11
HKQuantityTypeIdentifierStepCount,count,2021-02-02 23:56:16 +0300,2021-02-02 23:45:13 +0300,2021-02-02 23:45:24 +0300,6
HKQuantityTypeIdentifierStepCount,count,2021-02-03 12:07:23 +0300,2021-02-03 11:56:20 +0300,2021-02-03 12:00:21 +0300,37
HKQuantityTypeIdentifierStepCount,count,,2021-02-03 13:11:03 +0300,2021-02-03 13:20:28 +0300,618
HKQuantityTypeIdentifierStepCount,count,,2021-02-03 13:21:09 +0300,2021-02-03 13:29:32 +0300,232
HKQuantityTypeIdentifierStepCount,count,,2021-02-03 14:55:01 +0300,2021-02-03 15:02:35 +0300,454
HKQuantityTypeIdentifierStepCount,count,,2021-02-03 16:30:17 +0300,2021-02-03 16:40:18 +0300,940
HKQuantityTypeIdentifierStepCount,count,,2021-02-03 16:40:18 +0300,2021-02-03 16:49:20 +0300,560
HKQuantityTypeIdentifierStepCount,count,,2021-02-04 10:54:41 +0300,2021-02-04 10:54:43 +0300,8
HKQuantityTypeIdentifierStepCount,count,,2021-02-04 13:55:39 +0300,2021-02-04 13:58:54 +0300,199
HKQuantityTypeIdentifierStepCount,count,2021-02-04 14:26:25 +0300,2021-02-04 14:13:40 +0300,2021-02-04 14:20:49 +0300,108
HKQuantityTypeIdentifierStepCount,count,2021-02-04 14:55:11 +0300,2021-02-04 14:44:08 +0300,2021-02-04 14:53:30 +0300,156
HKQuantityTypeIdentifierStepCount,count,2021-02-04 15:23:44 +0300,2021-02-04 15:12:41 +0300,2021-02-04 15:15:56 +0300,275
HKQuantityTypeIdentifierStepCount,count,2021-02-04 16:16:07 +0300,2021-02-04 16:05:04 +0300,2021-02-04 16:15:03 +0300,453
HKQuantityTypeIdentifierStepCount,count,2021-02-04 16:18:03 +0300,2021-02-04 16:15:05 +0300,2021-02-04 16:17:24 +0300,121
HKQuantityTypeIdentifierStepCount,count,2021-02-05 00:07:27 +0300,2021-02-04 23:56:24 +0300,2021-02-04 23:56:39 +0300,20
HKQuantityTypeIdentifierStepCount,count,2021-02-05 11:02:16 +0300,2021-02-05 10:51:13 +0300,2021-02-05 10:51:16 +0300,8
HKQuantityTypeIdentifierStepCount,count,2021-02-05 16:19:32 +0300,2021-02-05 16:08:29 +0300,2021-02-05 16:11:11 +0300,253
HKQuantityTypeIdentifierStepCount,count,2021-02-05 16:34:20 +0300,2021-02-05 16:23:18 +0300,2021-02-05 16:32:55 +0300,376
HKQuantityTypeIdentifierStepCount,count,2021-02-05 16:44:50 +0300,2021-02-05 16:33:47 +0300,2021-02-05 16:42:20 +0300,350
HKQuantityTypeIdentifierStepCount,count,2021-02-05 17:07:07 +0300,2021-02-05 16:56:05 +0300,2021-02-05 16:59:56 +0300,257
HKQuantityTypeIdentifierStepCount,count,2021-02-05 17:59:17 +0300,2021-02-05 17:48:14 +0300,2021-02-05 17:58:15 +0300,339
HKQuantityTypeIdentifierStepCount,count,2021-02-05 18:09:18 +0300,2021-02-05 17:58:15 +0300,2021-02-05 18:00:36 +0300,156
HKQuantityTypeIdentifierStepCount,count,2021-02-05 18:22:26 +0300,2021-02-05 18:11:24 +0300,2021-02-05 18:12:18 +0300,85
HKQuantityTypeIdentifierStepCount,count,2021-02-05 18:50:20 +0300,2021-02-05 18:39:18 +0300,2021-02-05 18:40:30 +0300,101
HKQuantityTypeIdentifierStepCount,count,2021-02-05 19:17:35 +0300,2021-02-05 19:06:33 +0300,2021-02-05 19:12:45 +0300,21
HKQuantityTypeIdentifierStepCount,count,2021-02-05 19:35:29 +0300,2021-02-05 19:24:26 +0300,2021-02-05 19:26:34 +0300,89
HKQuantityTypeIdentifierStepCount,count,2021-02-05 20:37:18 +0300,2021-02-05 20:26:15 +0300,2021-02-05 20:26:53 +0300,30
HKQuantityTypeIdentifierStepCount,count,2021-02-05 23:35:24 +0300,2021-02-05 23:24:21 +0300,2021-02-05 23:33:07 +0300,251
HKQuantityTypeIdentifierStepCount,count,2021-02-05 23:45:27 +0300,2021-02-05 23:34:24 +0300,2021-02-05 23:43:26 +0300,103
HKQuantityTypeIdentifierStepCount,count,2021-02-05 23:57:21 +0300,2021-02-05 23:46:18 +0300,2021-02-05 23:48:37 +0300,60
HKQuantityTypeIdentifierStepCount,count,2021-02-06 00:08:57 +0300,2021-02-05 23:57:54 +0300,2021-02-06 00:02:39 +0300,177
HKQuantityTypeIdentifierStepCount,count,2021-02-06 00:18:57 +0300,2021-02-06 00:07:55 +0300,2021-02-06 00:09:30 +0300,82
HKQuantityTypeIdentifierStepCount,count,2021-02-06 11:40:47 +0300,2021-02-06 11:29:44 +0300,2021-02-06 11:29:52 +0300,14
HKQuantityTypeIdentifierStepCount,count,2021-02-06 12:56:41 +0300,2021-02-06 12:45:38 +0300,2021-02-06 12:55:18 +0300,331
HKQuantityTypeIdentifierStepCount,count,2021-02-06 13:08:37 +0300,2021-02-06 12:57:34 +0300,2021-02-06 13:00:11 +0300,219
HKQuantityTypeIdentifierStepCount,count,2021-02-06 14:07:29 +0300,2021-02-06 13:56:26 +0300,2021-02-06 13:58:55 +0300,201
HKQuantityTypeIdentifierStepCount,count,2021-02-07 09:10:28 +0300,2021-02-07 08:59:25 +0300,2021-02-07 08:59:28 +0300,4
HKQuantityTypeIdentifierStepCount,count,2021-02-07 12:41:41 +0300,2021-02-07 12:30:38 +0300,2021-02-07 12:32:39 +0300,189
HKQuantityTypeIdentifierStepCount,count,2021-02-07 13:04:27 +0300,2021-02-07 12:53:25 +0300,2021-02-07 12:58:48 +0300,110
HKQuantityTypeIdentifierStepCount,count,2021-02-08 00:42:13 +0300,2021-02-08 00:31:10 +0300,2021-02-08 00:31:15 +0300,14
HKQuantityTypeIdentifierStepCount,count,2021-02-08 08:43:08 +0300,2021-02-08 08:32:06 +0300,2021-02-08 08:32:08 +0300,1
HKQuantityTypeIdentifierStepCount,count,2021-02-08 08:57:21 +0300,2021-02-08 08:46:18 +0300,2021-02-08 08:46:20 +0300,5
HKQuantityTypeIdentifierStepCount,count,2021-02-08 11:55:03 +0300,2021-02-08 11:44:01 +0300,2021-02-08 11:53:36 +0300,104
HKQuantityTypeIdentifierStepCount,count,2021-02-08 12:05:19 +0300,2021-02-08 11:54:17 +0300,2021-02-08 12:01:26 +0300,383
HKQuantityTypeIdentifierStepCount,count,2021-02-08 15:54:36 +0300,2021-02-08 15:43:34 +0300,2021-02-08 15:53:22 +0300,79
HKQuantityTypeIdentifierStepCount,count,2021-02-09 00:41:59 +0300,2021-02-09 00:31:12 +0300,2021-02-09 00:31:20 +0300,11
HKQuantityTypeIdentifierStepCount,count,2021-02-09 12:31:21 +0300,2021-02-09 12:20:18 +0300,2021-02-09 12:20:21 +0300,8
HKQuantityTypeIdentifierStepCount,count,2021-02-09 14:26:01 +0300,2021-02-09 14:14:58 +0300,2021-02-09 14:15:01 +0300,2
HKQuantityTypeIdentifierStepCount,count,2021-02-09 15:53:58 +0300,2021-02-09 15:42:55 +0300,2021-02-09 15:42:57 +0300,10
HKQuantityTypeIdentifierStepCount,count,2021-02-09 16:34:26 +0300,2021-02-09 16:23:24 +0300,2021-02-09 16:23:29 +0300,8
HKQuantityTypeIdentifierStepCount,count,2021-02-09 17:15:46 +0300,2021-02-09 17:04:44 +0300,2021-02-09 17:10:07 +0300,347
HKQuantityTypeIdentifierStepCount,count,2021-02-09 17:30:27 +0300,2021-02-09 17:19:25 +0300,2021-02-09 17:28:06 +0300,254
HKQuantityTypeIdentifierStepCount,count,2021-02-09 17:40:41 +0300,2021-02-09 17:29:38 +0300,2021-02-09 17:38:27 +0300,264
HKQuantityTypeIdentifierStepCount,count,2021-02-09 17:54:10 +0300,2021-02-09 17:43:07 +0300,2021-02-09 17:53:08 +0300,134
HKQuantityTypeIdentifierStepCount,count,2021-02-09 18:04:11 +0300,2021-02-09 17:53:08 +0300,2021-02-09 17:55:37 +0300,217
HKQuantityTypeIdentifierStepCount,count,2021-02-10 01:12:18 +0300,2021-02-10 01:01:16 +0300,2021-02-10 01:01:18 +0300,11
HKQuantityTypeIdentifierStepCount,count,2021-02-10 10:14:04 +0300,2021-02-10 09:59:19 +0300,2021-02-10 09:59:24 +0300,11
HKQuantityTypeIdentifierStepCount,count,2021-02-10 10:52:25 +0300,2021-02-10 10:41:22 +0300,2021-02-10 10:41:25 +0300,4
HKQuantityTypeIdentifierStepCount,count,2021-02-10 13:07:45 +0300,2021-02-10 12:56:42 +0300,2021-02-10 13:06:41 +0300,500
HKQuantityTypeIdentifierStepCount,count,2021-02-10 13:18:09 +0300,2021-02-10 13:07:06 +0300,2021-02-10 13:08:11 +0300,95
HKQuantityTypeIdentifierStepCount,count,2021-02-10 13:45:52 +0300,2021-02-10 13:28:53 +0300,2021-02-10 13:29:49 +0300,91
HKQuantityTypeIdentifierStepCount,count,2021-02-10 15:00:39 +0300,2021-02-10 14:48:07 +0300,2021-02-10 14:55:26 +0300,244
HKQuantityTypeIdentifierStepCount,count,2021-02-10 16:35:33 +0300,2021-02-10 16:23:42 +0300,2021-02-10 16:33:38 +0300,383
HKQuantityTypeIdentifierStepCount,count,2021-02-10 16:44:45 +0300,2021-02-10 16:33:43 +0300,2021-02-10 16:43:31 +0300,886
HKQuantityTypeIdentifierStepCount,count,2021-02-10 16:56:42 +0300,2021-02-10 16:45:39 +0300,2021-02-10 16:50:32 +0300,112
HKQuantityTypeIdentifierStepCount,count,2021-02-10 17:11:07 +0300,2021-02-10 17:00:05 +0300,2021-02-10 17:00:23 +0300,34
HKQuantityTypeIdentifierStepCount,count,2021-02-10 17:31:42 +0300,2021-02-10 17:28:37 +0300,2021-02-10 17:28:39 +0300,1
HKQuantityTypeIdentifierStepCount,count,2021-02-10 18:17:02 +0300,2021-02-10 17:59:30 +0300,2021-02-10 18:09:30 +0300,589
HKQuantityTypeIdentifierStepCount,count,2021-02-10 18:21:31 +0300,2021-02-10 18:09:30 +0300,2021-02-10 18:19:31 +0300,1026
HKQuantityTypeIdentifierStepCount,count,2021-02-10 18:42:56 +0300,2021-02-10 18:19:31 +0300,2021-02-10 18:29:32 +0300,246
HKQuantityTypeIdentifierStepCount,count,2021-02-10 18:42:56 +0300,2021-02-10 18:29:32 +0300,2021-02-10 18:30:57 +0300,128
HKQuantityTypeIdentifierStepCount,count,2021-02-10 19:46:59 +0300,2021-02-10 19:34:40 +0300,2021-02-10 19:44:40 +0300,145
HKQuantityTypeIdentifierStepCount,count,2021-02-10 20:03:34 +0300,2021-02-10 19:44:40 +0300,2021-02-10 19:54:41 +0300,956
HKQuantityTypeIdentifierStepCount,count,2021-02-10 20:05:44 +0300,2021-02-10 19:54:41 +0300,2021-02-10 20:04:42 +0300,981
HKQuantityTypeIdentifierStepCount,count,2021-02-10 20:15:45 +0300,2021-02-10 20:04:42 +0300,2021-02-10 20:09:48 +0300,234
HKQuantityTypeIdentifierStepCount,count,2021-02-11 10:59:48 +0300,2021-02-11 10:46:52 +0300,2021-02-11 10:46:54 +0300,16
HKQuantityTypeIdentifierStepCount,count,2021-02-11 19:34:54 +0300,2021-02-11 19:20:34 +0300,2021-02-11 19:21:15 +0300,90
HKQuantityTypeIdentifierStepCount,count,2021-02-11 20:11:46 +0300,2021-02-11 20:00:43 +0300,2021-02-11 20:03:07 +0300,72
HKQuantityTypeIdentifierStepCount,count,2021-02-11 20:52:40 +0300,2021-02-11 20:41:38 +0300,2021-02-11 20:42:11 +0300,66
HKQuantityTypeIdentifierStepCount,count,2021-02-11 21:32:47 +0300,2021-02-11 21:21:44 +0300,2021-02-11 21:21:50 +0300,19
HKQuantityTypeIdentifierStepCount,count,2021-02-11 22:13:27 +0300,2021-02-11 21:58:36 +0300,2021-02-11 22:08:37 +0300,1018
HKQuantityTypeIdentifierStepCount,count,2021-02-11 22:19:40 +0300,2021-02-11 22:08:37 +0300,2021-02-11 22:15:33 +0300,643
